"firstName","lastName","birthCountry","orgName","orgCountry"
"Franco","Modigliani","Italy","Massachusetts Institute of Technology (MIT)","USA"
"Franco","Modigliani","Italy","Massachusetts Institute of Technology (MIT)","United States"
"Emilio","Segrè","Italy","University of California","USA"
"Emilio","Segrè","Italy","University of California","United States"
"Salvador E.","Luria","Italy","Massachusetts Institute of Technology (MIT)","USA"
"Salvador E.","Luria","Italy","Massachusetts Institute of Technology (MIT)","United States"
"Mario R.","Capecchi","Italy","University of Utah","USA"
"Mario R.","Capecchi","Italy","University of Utah","United States"
"Shuji","Nakamura","Japan","University of California","USA"
"Shuji","Nakamura","Japan","University of California","United States"
"Osamu","Shimomura","Japan","Marine Biological Laboratory (MBL)","USA"
"Osamu","Shimomura","Japan","Marine Biological Laboratory (MBL)","United States"
"Kazuo","Ishiguro","Japan","nan","nan"
"Susumu","Tonegawa","Japan","Massachusetts Institute of Technology (MIT)","USA"
"Susumu","Tonegawa","Japan","Massachusetts Institute of Technology (MIT)","United States"
"Leo","Esaki","Japan","IBM Thomas J. Watson Research Center","USA"
"Leo","Esaki","Japan","IBM Thomas J. Watson Research Center","United States"
"Yasunari","Kawabata","Japan","nan","nan"
"Syukuro","Manabe","Japan","Princeton University","USA"
"Syukuro","Manabe","Japan","Princeton University","United States"
"Eisaku","Satō","Japan","nan","nan"
"Hideki","Yukawa","Japan","Columbia University","USA"
"Hideki","Yukawa","Japan","Columbia University","United States"
"Yoichiro","Nambu","Japan","Enrico Fermi Institute University of Chicago","USA"
"Yoichiro","Nambu","Japan","Enrico Fermi Institute University of Chicago","United States"
"Kenzaburo","Oe","Japan","nan","nan"
"Willem","Einthoven","Java Dutch East Indies (now Indonesia)","Leiden University","the Netherlands"
"Wangari","Maathai","Kenya","nan","nan"
"Kim","Dae-jung","Korea (now South Korea)","nan","nan"
"Charles J.","Pedersen","Korea (now South Korea)","Du Pont","USA"
"Charles J.","Pedersen","Korea (now South Korea)","Du Pont","United States"
"Ardem","Patapoutian","Lebanon","Scripps Research","USA"
"Ardem","Patapoutian","Lebanon","Scripps Research","United States"
"Ellen","Johnson Sirleaf","Liberia","nan","nan"
"Leymah","Gbowee","Liberia","nan","nan"
"Aaron","Klug","Lithuania","MRC Laboratory of Molecular Biology","United Kingdom"
"Jules A.","Hoffmann","Luxembourg","University of Strasbourg","France"
"Gabriel","Lippmann","Luxembourg","Sorbonne University","France"
"Claude","Simon","Madagascar","nan","nan"
"Albrecht","Kossel","Mecklenburg (now Germany)","University of Heidelberg","Germany"
"Mario J.","Molina","Mexico","Massachusetts Institute of Technology (MIT)","USA"
"Mario J.","Molina","Mexico","Massachusetts Institute of Technology (MIT)","United States"
"Octavio","Paz","Mexico","nan","nan"
"Alfonso","García Robles","Mexico","nan","nan"
"Serge","Haroche","Morocco","Collège de France","France"
"Alan","MacDiarmid","New Zealand","University of Pennsylvania","USA"
"Alan","MacDiarmid","New Zealand","University of Pennsylvania","United States"
"Ernest","Rutherford","New Zealand","Victoria University","United Kingdom"
"Maurice","Wilkins","New Zealand","London University","United Kingdom"
"Wole","Soyinka","Nigeria","nan","nan"
"Betty","Williams","Northern Ireland","nan","nan"
"David","Trimble","Northern Ireland","nan","nan"
"Mairead","Corrigan","Northern Ireland","nan","nan"
"Seamus","Heaney","Northern Ireland","nan","nan"
"John","Hume","Northern Ireland","nan","nan"
"Ivar","Giaever","Norway","General Electric Company","USA"
"Ivar","Giaever","Norway","General Electric Company","United States"
"Finn E.","Kydland","Norway","Carnegie Mellon University","USA"
"Finn E.","Kydland","Norway","Carnegie Mellon University","United States"
"Jon","Fosse","Norway","nan","nan"
"Fridtjof","Nansen","Norway","nan","nan"
"Lars","Onsager","Norway","Yale University","USA"
"Lars","Onsager","Norway","Yale University","United States"
"Bjørnstjerne","Bjørnson","Norway","nan","nan"
"Knut","Hamsun","Norway","nan","nan"
"Christian","Lange","Norway","nan","nan"
"Anjezë Gonxhe","Bojaxhiu","Ottoman Empire (now North Macedonia)","nan","nan"
"Giorgos","Seferis","Ottoman Empire (now Turkey)","nan","nan"
"Malala","Yousafzai","Pakistan","nan","nan"
"Doris","Lessing","Persia (now Iran)","nan","nan"
"Mario","Vargas Llosa","Peru","nan","nan"
"Maria","Ressa","Philippines","nan","nan"
"Wisława","Szymborska","Poland","nan","nan"
"Georges","Charpak","Poland","École Supérieure de Physique et Chimie","France"
"Lech","Wałęsa","Poland","nan","nan"
"Olga","Tokarczuk","Poland","nan","nan"
"Tadeus","Reichstein","Poland","Basel University","Switzerland"
"Henryk","Sienkiewicz","Poland","nan","nan"
"Władysław","Reymont","Poland","nan","nan"
"Isaac Bashevis","Singer","Poland","nan","nan"
"Joseph","Rotblat","Poland","nan","nan"
